;19/10/2020;20/10/2020;21/10/2020;22/10/2020;23/10/2020;24/10/2020;25/10/2020
7:00 - 8:00;7;11;9;8;5;6;2
8:00 - 9:00;10;14;6;13;15;9;8
9:00 - 10:00;12;13;11;10;13;11;25
10:00 - 11:00;6;15;11;11;11;14;22
11:00 - 12:00;18;25;13;13;16;18;17
12:00 - 13:00;13;7;7;10;22;7;18
13:00 - 14:00;13;11;19;17;12;11;8
14:00 - 15:00;12;12;13;9;11;8;8
15:00 - 16:00;18;11;14;10;14;19;18
16:00 - 17:00;23;17;14;13;19;15;13
17:00 - 18:00;19;29;19;15;29;21;17
18:00 - 19:00;17;24;24;21;9;17;11
19:00 - 20:00;15;13;22;19;5;12;16
20:00 - 21:00;20;17;15;13;5;12;10
21:00 - 22:00;1;2;4;1;1;0;0
